Altium Designer Pick and Place Locations
C:\Users\lukab\Desktop\DEC\6DOF-Robotic-Arm\Electronic\PCB\Motor Driver\Motor Driver\Project Outputs for Free Documents\Pick Place\Pick Place for PCB1.txt

========================================================================================================================
File Design Information:

Date:       20/05/20
Time:       14:11
Revision:   c39951c1dd44cf7969311be807107014d140a2cb
Variant:    No variations
Units used: mil

Designator Comment         Layer       Footprint             Center-X(mil) Center-Y(mil) Rotation Description                
C23        "Capacitor SMD" TopLayer    0603                  251.969       606.299       270      "Capacitor SMD 0603"       
C22        "Capacitor SMD" TopLayer    0603                  -39.370       -62.992       360      "Capacitor SMD 0603"       
C21        "Capacitor SMD" TopLayer    0603                  374.016       279.528       90       "Capacitor SMD 0603"       
R19        "Resistor 0603" BottomLayer 0603                  389.764       23.622        270      "Resistor 0603 SMD"        
R18        "Resistor 0603" TopLayer    0603                  323.228       486.221       360      "Resistor 0603 SMD"        
Q1         "MOSFET N-CH"   TopLayer    SOT223_M              23.622        669.292       180      "55V 7A SOT223"            
R17        "Resistor 0603" BottomLayer 0603                  511.811       102.362       270      "Resistor 0603 SMD"        
R16        "Resistor 0603" BottomLayer 0603                  511.811       216.535       270      "Resistor 0603 SMD"        
Y1         8M              TopLayer    ATS080B-E             -577.932      -417.616      126      "Crystal Oscillator"       
R3         "Resistor 0603" BottomLayer 0603                  531.497       -177.165      360      "Resistor 0603 SMD"        
J3         MAIN_OUT        TopLayer    JST_5POS_2.5mm_90°    15.748        -476.378      180      Connector                  
U3         MAX485CPA+      TopLayer    DIP_8_-_3D            601.968       94.882        360      "RS485 Communication"      
C1         "Capacitor SMD" BottomLayer 0603                  574.803       354.330       125      "Capacitor SMD 0603"       
C4         "Capacitor SMD" TopLayer    0603                  287.402       -185.039      90       "Capacitor SMD 0603"       
C3         "Capacitor SMD" TopLayer    0603                  413.386       -185.039      90       "Capacitor SMD 0603"       
C2         "Capacitor SMD" TopLayer    0603                  350.394       -185.039      90       "Capacitor SMD 0603"       
